127.0.0.1 - - [18/Oct/2022:17:38:49 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:38:50 +0900] "GET /semiProject/ HTTP/1.1" 200 59219
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:38:50 +0900] "GET /semiProject/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:38:50 +0900] "GET /semiProject/assets/vendor/hs-mega-menu/dist/hs-mega-menu.min.js HTTP/1.1" 404 890
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:38:50 +0900] "GET /semiProject/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:38:51 +0900] "GET /semiProject/vendor/imagesloaded/imagesloaded.pkgd.min.js HTTP/1.1" 200 5594
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:38:51 +0900] "GET /semiProject/vendor/shufflejs/dist/shuffle.min.js HTTP/1.1" 200 20830
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:38:51 +0900] "GET /semiProject/vendor/parallax-js/dist/parallax.min.js HTTP/1.1" 200 17314
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:38:51 +0900] "GET /semiProject/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 200 78468
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:38:51 +0900] "GET /semiProject/vendor/simplebar/dist/simplebar.min.js HTTP/1.1" 200 58750
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:38:51 +0900] "GET /semiProject/vendor/smooth-scroll/dist/smooth-scroll.polyfills.min.js HTTP/1.1" 200 6563
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:38:51 +0900] "GET /semiProject/vendor/jarallax/dist/jarallax.min.js HTTP/1.1" 200 15450
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:38:51 +0900] "GET /semiProject/vendor/tiny-slider/dist/min/tiny-slider.js HTTP/1.1" 200 31966
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:38:51 +0900] "GET /semiProject/vendor/flatpickr/dist/flatpickr.min.js HTTP/1.1" 200 49670
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:38:51 +0900] "GET /semiProject/vendor/flatpickr/dist/plugins/rangePlugin.js HTTP/1.1" 200 8139
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:38:51 +0900] "GET /semiProject/vendor/lightgallery.js/dist/js/lightgallery.min.js HTTP/1.1" 200 25417
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:38:51 +0900] "GET /semiProject/vendor/lg-video.js/dist/lg-video.min.js HTTP/1.1" 200 7967
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:38:51 +0900] "GET /semiProject/js/theme.min.js HTTP/1.1" 200 16805
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:38:51 +0900] "GET /semiProject/logo_ver3.svg HTTP/1.1" 200 11354
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:38:51 +0900] "GET /semiProject/img/img/poster.png HTTP/1.1" 200 164988
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:38:51 +0900] "GET /semiProject/img/img/poster1.png HTTP/1.1" 200 88542
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:38:51 +0900] "GET /semiProject/img/img/poster2.png HTTP/1.1" 200 68545
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:38:51 +0900] "GET /semiProject/resources/caliburn_2.svg HTTP/1.1" 200 3377701
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:38:51 +0900] "GET /semiProject/resources/caliburn_7.svg HTTP/1.1" 200 1512735
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:38:51 +0900] "GET /semiProject/resources/caliburn_5.svg HTTP/1.1" 200 3863951
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:38:51 +0900] "GET /semiProject/resources/caliburn_8.svg HTTP/1.1" 200 950344
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:38:51 +0900] "GET /semiProject/resources/caliburn_6.svg HTTP/1.1" 200 3064192
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:38:51 +0900] "GET /semiProject/resources/caliburn_15.svg HTTP/1.1" 200 2667800
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:38:51 +0900] "GET /semiProject/resources/caliburn_4.svg HTTP/1.1" 200 2307464
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:38:51 +0900] "GET /semiProject/resources/caliburn_14.svg HTTP/1.1" 200 2797640
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:38:51 +0900] "GET /semiProject/fonts/around-icons.ttf?enmnv5 HTTP/1.1" 200 74516
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:38:51 +0900] "GET /semiProject/resources/caliburn_13.svg HTTP/1.1" 200 5892367
0:0:0:0:0:0:0:1 - - [18/Oct/2022:17:38:51 +0900] "GET /semiProject/resources/caliburn_12.svg HTTP/1.1" 200 2078678
